"Country ID","Country","Trade Value Export","Trade Value Import","Trade Value Delta","ISO 3"
"ago","Angola",5247858,3224,5244634,"AGO"
"bdi","Burundi",0,17445,-17445,"BDI"
"ben","Benin",0,592,-592,"BEN"
"bfa","Burkina Faso",141027,20997,120030,"BFA"
"bwa","Botswana",322799,1702,321097,"BWA"
"caf","República Centroafricana",0,1684,-1684,"CAF"
"civ","Côte d'Ivoire",1245986,316,1245670,"CIV"
"cmr","Camerún",336075,3582651,-3246576,"CMR"
"cod","Congo, República Democrática del",0,46,-46,"COD"
"cog","Congo, República del",329163,56052,273111,"COG"
"com","Comoras",0,20888,-20888,"COM"
"cpv","Cabo Verde",0,3121,-3121,"CPV"
"dza","Argelia",5611784,16991,5594793,"DZA"
"egy","Egipto",2742215,37046868,-34304653,"EGY"
"eri","Eritrea",2932,3835,-903,"ERI"
"esh","Sahara Occidental",0,2015,-2015,"ESH"
"eth","Etiopía",0,204346,-204346,"ETH"
"gab","Gabón",741287,30182,711105,"GAB"
"gha","Ghana",59776,11196,48580,"GHA"
"gin","Guinea",0,250,-250,"GIN"
"gmb","Gambia",0,11805,-11805,"GMB"
"lbr","Liberia",219022,258453,-39431,"LBR"
"lby","Libia",335765,218,335547,"LBY"
"lso","Lesotho",0,26524,-26524,"LSO"
"mar","Marruecos",6313315,11358892,-5045577,"MAR"
"mdg","Madagascar",355515,430420,-74905,"MDG"
"mli","Malí",1732,153143,-151411,"MLI"
"moz","Mozambique",34979,67563,-32584,"MOZ"
"mrt","Mauritania",6651,3836,2815,"MRT"
"mus","Mauricio",62449,11968,50481,"MUS"
"mwi","Malawi",0,112,-112,"MWI"
"myt","Mayotte",0,378,-378,"MYT"
"nam","Namibia",19550,658637,-639087,"NAM"
"ner","Níger",15616,66704,-51088,"NER"
"nga","Nigeria",1145729,2068,1143661,"NGA"
"reu","Réunion",7685,135707,-128022,"REU"
"rwa","Ruanda",11108,733,10375,"RWA"
"sdn","Sudán",422304,1634,420670,"SDN"
"sen","Senegal",286300,393434,-107134,"SEN"
"shn","Santa Elena",0,4927,-4927,"SHN"
"sle","Sierra Leona",0,19240,-19240,"SLE"
